2023-05-04:14:37:57,152, Crawling next site: https://www.twitter.com/WTA
2023-05-04:14:37:57,741, Finished crawling a site with 0 distinct players mentioned and 892 hyperlinks.
2023-05-04:14:37:57,742, Crawling next site: https://www.womenssportsfoundation.org/
2023-05-04:14:37:57,946, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:37:57,947, Crawling next site: https://www.wtatennis.com
2023-05-04:14:37:58,020, Finished crawling a site with 0 distinct players mentioned and 6 hyperlinks.
2023-05-04:14:37:58,020, Crawling next site: https://www.wtatennis.com/about
2023-05-04:14:37:58,289, Finished crawling a site with 8 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:37:58,289, Crawling next site: https://www.wtatennis.com/about
2023-05-04:14:37:58,297, Finished crawling a site with 16 distinct players mentioned and 161 hyperlinks.
2023-05-04:14:37:58,297, Crawling next site: https://www.wtatennis.com/about
2023-05-04:14:37:58,509, Finished crawling a site with 8 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:37:58,510, Crawling next site: https://www.wtatennis.com/accessibility
2023-05-04:14:37:58,515, Finished crawling a site with 8 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:37:58,515, Crawling next site: https://www.wtatennis.com/anti-doping
2023-05-04:14:37:58,732, Finished crawling a site with 0 distinct players mentioned and 101 hyperlinks.
2023-05-04:14:37:58,732, Crawling next site: https://www.wtatennis.com/apps
2023-05-04:14:37:58,821, Finished crawling a site with 0 distinct players mentioned and 99 hyperlinks.
2023-05-04:14:37:58,821, Crawling next site: https://www.wtatennis.com/apps
2023-05-04:14:37:58,956, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:37:58,956, Crawling next site: https://www.wtatennis.com/board-of-directors
2023-05-04:14:37:58,999, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:37:58,999, Crawling next site: https://www.wtatennis.com/board-of-directors-wta-ventures
2023-05-04:14:37:59,327, Finished crawling a site with 0 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:37:59,327, Crawling next site: https://www.wtatennis.com/breakpoint
2023-05-04:14:37:59,346, Finished crawling a site with 0 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:37:59,346, Crawling next site: https://www.wtatennis.com/breakpoint
2023-05-04:14:37:59,817, Finished crawling a site with 5 distinct players mentioned and 121 hyperlinks.
2023-05-04:14:37:59,818, Crawling next site: https://www.wtatennis.com/broadcast
2023-05-04:14:37:59,822, Finished crawling a site with 5 distinct players mentioned and 121 hyperlinks.
2023-05-04:14:37:59,822, Crawling next site: https://www.wtatennis.com/broadcast
2023-05-04:14:38:00,094, Finished crawling a site with 0 distinct players mentioned and 155 hyperlinks.
2023-05-04:14:38:00,095, Crawling next site: https://www.wtatennis.com/coaches
2023-05-04:14:38:00,103, Finished crawling a site with 0 distinct players mentioned and 155 hyperlinks.
2023-05-04:14:38:00,103, Crawling next site: https://www.wtatennis.com/coaches
2023-05-04:14:38:00,317, Finished crawling a site with 6 distinct players mentioned and 127 hyperlinks.
2023-05-04:14:38:00,319, Crawling next site: https://www.wtatennis.com/contact
2023-05-04:14:38:00,333, Finished crawling a site with 6 distinct players mentioned and 127 hyperlinks.
2023-05-04:14:38:00,334, Crawling next site: https://www.wtatennis.com/cookbook
2023-05-04:14:38:00,652, Finished crawling a site with 0 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:00,652, Crawling next site: https://www.wtatennis.com/cookbook
2023-05-04:14:38:00,955, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:00,955, Crawling next site: https://www.wtatennis.com/doubles
2023-05-04:14:38:01,120, Finished crawling a site with 0 distinct players mentioned and 0 hyperlinks.
2023-05-04:14:38:01,121, Crawling next site: https://www.wtatennis.com/doubles
2023-05-04:14:38:01,240, Finished crawling a site with 6 distinct players mentioned and 112 hyperlinks.
2023-05-04:14:38:01,241, Crawling next site: https://www.wtatennis.com/for-the-game
2023-05-04:14:38:01,359, Finished crawling a site with 6 distinct players mentioned and 112 hyperlinks.
2023-05-04:14:38:01,359, Crawling next site: https://www.wtatennis.com/for-the-game
2023-05-04:14:38:01,534, Finished crawling a site with 3 distinct players mentioned and 108 hyperlinks.
2023-05-04:14:38:01,535, Crawling next site: https://www.wtatennis.com/for-the-game
2023-05-04:14:38:01,591, Finished crawling a site with 3 distinct players mentioned and 108 hyperlinks.
2023-05-04:14:38:01,591, Crawling next site: https://www.wtatennis.com/head-to-head
2023-05-04:14:38:01,766, Finished crawling a site with 3 distinct players mentioned and 108 hyperlinks.
2023-05-04:14:38:01,767, Crawling next site: https://www.wtatennis.com/head-to-head
2023-05-04:14:38:01,907, Finished crawling a site with 1 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:01,908, Crawling next site: https://www.wtatennis.com/management-team
2023-05-04:14:38:02,085, Finished crawling a site with 1 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:02,086, Crawling next site: https://www.wtatennis.com/news
2023-05-04:14:38:02,104, Finished crawling a site with 1 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:02,104, Crawling next site: https://www.wtatennis.com/news
2023-05-04:14:38:02,346, Finished crawling a site with 12 distinct players mentioned and 132 hyperlinks.
2023-05-04:14:38:02,347, Crawling next site: https://www.wtatennis.com/news
2023-05-04:14:38:02,358, Finished crawling a site with 12 distinct players mentioned and 132 hyperlinks.
2023-05-04:14:38:02,358, Crawling next site: https://www.wtatennis.com/newsletter
2023-05-04:14:38:02,505, Finished crawling a site with 0 distinct players mentioned and 62 hyperlinks.
2023-05-04:14:38:02,505, Crawling next site: https://www.wtatennis.com/newsletter
2023-05-04:14:38:02,555, Finished crawling a site with 12 distinct players mentioned and 132 hyperlinks.
2023-05-04:14:38:02,556, Crawling next site: https://www.wtatennis.com/official-guide
2023-05-04:14:38:02,619, Finished crawling a site with 0 distinct players mentioned and 62 hyperlinks.
2023-05-04:14:38:02,620, Crawling next site: https://www.wtatennis.com/official-partners
2023-05-04:14:38:02,811, Finished crawling a site with 1 distinct players mentioned and 109 hyperlinks.
2023-05-04:14:38:02,812, Crawling next site: https://www.wtatennis.com/original-9
2023-05-04:14:38:02,845, Finished crawling a site with 0 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:38:02,846, Crawling next site: https://www.wtatennis.com/original-9
2023-05-04:14:38:03,096, Finished crawling a site with 1 distinct players mentioned and 125 hyperlinks.
2023-05-04:14:38:03,096, Crawling next site: https://www.wtatennis.com/partnership-opportunities
2023-05-04:14:38:03,100, Finished crawling a site with 1 distinct players mentioned and 125 hyperlinks.
2023-05-04:14:38:03,100, Crawling next site: https://www.wtatennis.com/photos
2023-05-04:14:38:03,261, Finished crawling a site with 0 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:38:03,261, Crawling next site: https://www.wtatennis.com/photos
